id,question,answer,qa_text
98,哪些物品不适合在洗碗机中清洗？,"以下物品不建议在洗碗机中清洗：  
- 沾有烟灰、蜡烛残渣、抛光剂、染料或化学品的餐具。  
- 铁制器具，以及铜和镀锡容器。  
- 带木质、骨质手柄或黏合部件、不耐热的银质餐具和刀具。  
- 铝制和银质器具，可能褪色或失去光泽。  
- 带装饰的玻璃和光泽瓷器，装饰可能脱落或逐渐失去光泽。  
- 表面已变差的厨具以及特氟龙厨具，可能出现烘干不佳的情况。  

建议购买餐具时确认是否标注可洗碗机清洗。","Question:
哪些物品不适合在洗碗机中清洗？

Answer:
以下物品不建议在洗碗机中清洗：  
- 沾有烟灰、蜡烛残渣、抛光剂、染料或化学品的餐具。  
- 铁制器具，以及铜和镀锡容器。  
- 带木质、骨质手柄或黏合部件、不耐热的银质餐具和刀具。  
- 铝制和银质器具，可能褪色或失去光泽。  
- 带装饰的玻璃和光泽瓷器，装饰可能脱落或逐渐失去光泽。  
- 表面已变差的厨具以及特氟龙厨具，可能出现烘干不佳的情况。  

建议购买餐具时确认是否标注可洗碗机清洗。"
99,如何根据洗碗机型号安装餐具篮？,"不同型号洗碗机的餐具篮安装位置略有不同。您可以参考说明书“概览”部分，通常标有“餐具篮”位置（例如在下层碗篮或下层喷淋臂附近）。 <PIC> 安装时只需将餐具篮平稳卡入指定凹槽或区域，无需工具。若说明书遗失，可以告诉我您的洗碗机型号，我帮您调取对应图示。,[""Dish_washer_08""]","Question:
如何根据洗碗机型号安装餐具篮？

Answer:
不同型号洗碗机的餐具篮安装位置略有不同。您可以参考说明书“概览”部分，通常标有“餐具篮”位置（例如在下层碗篮或下层喷淋臂附近）。 <PIC> 安装时只需将餐具篮平稳卡入指定凹槽或区域，无需工具。若说明书遗失，可以告诉我您的洗碗机型号，我帮您调取对应图示。,[""Dish_washer_08""]"
100,使用洗碗机前如何安装可折叠下层篮架？,"可折叠下层篮架丝出厂已预装在下层碗篮上，无需额外安装。使用时按压卡扣（A）即可将它放下或抬起，腾出空间放置大件物品。

<PIC>,[""Manual06_12""]","Question:
使用洗碗机前如何安装可折叠下层篮架？

Answer:
可折叠下层篮架丝出厂已预装在下层碗篮上，无需额外安装。使用时按压卡扣（A）即可将它放下或抬起，腾出空间放置大件物品。

<PIC>,[""Manual06_12""]"
101,如何调节洗碗机满载时上下碗篮的高度？,"您可以在满载状态下，无需取出餐具，直接调节上层碗篮高度，步骤如下：

1. 抓住上层碗篮一侧的架丝向上提起。
2. 另一侧重复同样操作。
3. 确认两侧调节机构处于同一水平（高或低），确保碗篮平稳。

<PIC>

另外，您也可以使用“半载”功能，将餐具随意放置在上层或下层，灵活利用空间并节省水电。,[""Manual06_13""]","Question:
如何调节洗碗机满载时上下碗篮的高度？

Answer:
您可以在满载状态下，无需取出餐具，直接调节上层碗篮高度，步骤如下：

1. 抓住上层碗篮一侧的架丝向上提起。
2. 另一侧重复同样操作。
3. 确认两侧调节机构处于同一水平（高或低），确保碗篮平稳。

<PIC>

另外，您也可以使用“半载”功能，将餐具随意放置在上层或下层，灵活利用空间并节省水电。,[""Manual06_13""]"
102,如何清洁洗碗机的进水管滤网？,"清洁进水管滤网可参考以下步骤：

1. 关闭水龙头，将进水管从水龙头拆下。 <PIC>
2. 取出内部滤网，放在自来水下冲洗干净。
3. 将清洁后的滤网装回原位，再把进水管重新接回水龙头。
4. 安装完毕后，打开水龙头检查连接处有无漏水。

建议定期检查和清洁，防止杂质进入机器。,[""Manual06_22""]","Question:
如何清洁洗碗机的进水管滤网？

Answer:
清洁进水管滤网可参考以下步骤：

1. 关闭水龙头，将进水管从水龙头拆下。 <PIC>
2. 取出内部滤网，放在自来水下冲洗干净。
3. 将清洁后的滤网装回原位，再把进水管重新接回水龙头。
4. 安装完毕后，打开水龙头检查连接处有无漏水。

建议定期检查和清洁，防止杂质进入机器。,[""Manual06_22""]"
103,如何清洁洗碗机的上层喷淋臂？,"根据使用情况，建议至少每周清洁一次上层喷淋臂。具体步骤如下：

1. 安全准备：清洁前，请先拔掉洗碗机电源并关闭水龙头。
2. 拆卸：向左旋转螺母，拆下上层喷淋臂。
3. 清洁：检查喷淋臂上的小孔是否堵塞，如有食物残渣，清理干净。
4. 安装：将喷淋臂装回原位，并确保螺母已拧紧。

您可以参考图示进行操作：<PIC>,[""Manual06_23""]","Question:
如何清洁洗碗机的上层喷淋臂？

Answer:
根据使用情况，建议至少每周清洁一次上层喷淋臂。具体步骤如下：

1. 安全准备：清洁前，请先拔掉洗碗机电源并关闭水龙头。
2. 拆卸：向左旋转螺母，拆下上层喷淋臂。
3. 清洁：检查喷淋臂上的小孔是否堵塞，如有食物残渣，清理干净。
4. 安装：将喷淋臂装回原位，并确保螺母已拧紧。

您可以参考图示进行操作：<PIC>,[""Manual06_23""]"
104,如何拆除空气净化器滤网的塑料包装？,"您可以按照以下步骤拆除空气净化器滤网的塑料包装：

**重要提醒：操作前请务必拔下设备插头。滤网塑料包装拆除后，商品将无法退货。**

1.  双手握住设备上盖并向上拉起。<PIC>
2.  握住背部滤网盖把手并向前拉出。<PIC>
3.  直接拆除滤网上的塑料包装。这一步很重要，未拆除会导致异响，甚至可能引发火灾。<PIC>
4.  将滤网上下推入设备，确保贴合紧密。<PIC>
5.  装回滤网盖，先对准底部卡槽，再向前滑动卡入顶部。<PIC>
6.  双手装回设备上盖并滑回原位，确保标识朝前。<PIC>
7.  最后，长按控制面板上的“睡眠+自动”键5秒以上进行初始化，重置后红色滤网指示灯会熄灭。,[""Manual03_0"", ""Manual03_1"", ""Manual03_2"", ""Manual03_3"", ""Manual03_4"", ""Manual03_5""]","Question:
如何拆除空气净化器滤网的塑料包装？

Answer:
您可以按照以下步骤拆除空气净化器滤网的塑料包装：

**重要提醒：操作前请务必拔下设备插头。滤网塑料包装拆除后，商品将无法退货。**

1.  双手握住设备上盖并向上拉起。<PIC>
2.  握住背部滤网盖把手并向前拉出。<PIC>
3.  直接拆除滤网上的塑料包装。这一步很重要，未拆除会导致异响，甚至可能引发火灾。<PIC>
4.  将滤网上下推入设备，确保贴合紧密。<PIC>
5.  装回滤网盖，先对准底部卡槽，再向前滑动卡入顶部。<PIC>
6.  双手装回设备上盖并滑回原位，确保标识朝前。<PIC>
7.  最后，长按控制面板上的“睡眠+自动”键5秒以上进行初始化，重置后红色滤网指示灯会熄灭。,[""Manual03_0"", ""Manual03_1"", ""Manual03_2"", ""Manual03_3"", ""Manual03_4"", ""Manual03_5""]"
105,如何安装空气净化器的脚轮？,"您好，空气净化器脚轮为可选配件，请先检查包装盒内是否有一个小盒，内含4个脚轮和8颗螺丝。

安装步骤如下：
1. 用螺丝刀拆下空气净化器底部的四个原有底座。
2. 将每个脚轮对准原底座位置，用两颗螺丝固定替换。
3. 保留拆下的底座和螺丝，以备后续使用。

如果滤盒内没有找到脚轮盒，请联系客服为您处理。","Question:
如何安装空气净化器的脚轮？

Answer:
您好，空气净化器脚轮为可选配件，请先检查包装盒内是否有一个小盒，内含4个脚轮和8颗螺丝。

安装步骤如下：
1. 用螺丝刀拆下空气净化器底部的四个原有底座。
2. 将每个脚轮对准原底座位置，用两颗螺丝固定替换。
3. 保留拆下的底座和螺丝，以备后续使用。

如果滤盒内没有找到脚轮盒，请联系客服为您处理。"
106,空气净化器通常有哪些模式？如何设置？这些模式有什么特点？,"您好，空气净化器主要有以下模式及设置方式：

**1. 常规运行模式**
- 设置：开机后默认显示上次选择的模式，按上下键可在 1 档（F1）至 18 档（F18）间调节风速。  
  <PIC>
- 特点：支持多档精细风速调节，满足日常不同净化需求。

**2. 涡轮风扇模式**
- 设置：需先开机并处于常规运行模式，然后同时长按上下键约 3 秒即可启动。  
  <PIC>
- 特点：能更快净化室内空气；按下键会调至 18 档并停止涡轮模式，返回常规运行后仍可再次启动。

**3. 自动关机模式**
- 设置及特点：可预设自动关机时间，到设定时间净化器会自动关机。  
  <PIC>
- 注意：若中途断电，之前设置的自动关机时间会被取消，需要重新设置。

如需进一步了解某个模式，可随时告诉我。,[""Manual03_14"", ""Manual03_16"", ""Manual03_19""]","Question:
空气净化器通常有哪些模式？如何设置？这些模式有什么特点？

Answer:
您好，空气净化器主要有以下模式及设置方式：

**1. 常规运行模式**
- 设置：开机后默认显示上次选择的模式，按上下键可在 1 档（F1）至 18 档（F18）间调节风速。  
  <PIC>
- 特点：支持多档精细风速调节，满足日常不同净化需求。

**2. 涡轮风扇模式**
- 设置：需先开机并处于常规运行模式，然后同时长按上下键约 3 秒即可启动。  
  <PIC>
- 特点：能更快净化室内空气；按下键会调至 18 档并停止涡轮模式，返回常规运行后仍可再次启动。

**3. 自动关机模式**
- 设置及特点：可预设自动关机时间，到设定时间净化器会自动关机。  
  <PIC>
- 注意：若中途断电，之前设置的自动关机时间会被取消，需要重新设置。

如需进一步了解某个模式，可随时告诉我。,[""Manual03_14"", ""Manual03_16"", ""Manual03_19""]"
107,空气净化器的室内空气质量指示灯是什么？,"空气净化器的室内空气质量（IAQ）指示灯环绕在显示屏外缘，通过四种不同颜色显示当前的空气状况 <PIC>。设备根据检测到的细颗粒物浓度变化，帮助您直观了解室内空气质量。

请注意：若机器靠近门口、通风口或窗户，可能显示更清洁的等级；指示灯对部分颗粒物无反应，读数也可能与其他检测设备不同。,[""Manual03_20""]","Question:
空气净化器的室内空气质量指示灯是什么？

Answer:
空气净化器的室内空气质量（IAQ）指示灯环绕在显示屏外缘，通过四种不同颜色显示当前的空气状况 <PIC>。设备根据检测到的细颗粒物浓度变化，帮助您直观了解室内空气质量。

请注意：若机器靠近门口、通风口或窗户，可能显示更清洁的等级；指示灯对部分颗粒物无反应，读数也可能与其他检测设备不同。,[""Manual03_20""]"
108,如何清洁空气净化器的设备内外？,"清洁前请务必拔下电源插头。建议每月清洁 1-2 次，灰尘较多的地区可增加频率。

1. 外壳：用温水或温和清洁剂浸湿的软布擦拭，再用干软布擦干。
2. 滤网仓：打开背部滤网盖，取出滤网；用吸尘器和湿毛巾清洁滤网仓内部。
3. 灰尘传感器（如需清洁）：<PIC>双手向上拉起上盖；<PIC>向前拉出滤网盖；<PIC>拆下右侧灰尘传感器盖；<PIC>用湿棉签擦拭镜头和进风口，再用干棉签彻底擦干后装回。

如需长期存放，先在晴天运行 1 小时并拔下电源晾干内部，然后遮盖存放于干燥、无阳光直射处。,[""Manual03_22"", ""Manual03_23"", ""Manual03_24"", ""Manual03_25""]","Question:
如何清洁空气净化器的设备内外？

Answer:
清洁前请务必拔下电源插头。建议每月清洁 1-2 次，灰尘较多的地区可增加频率。

1. 外壳：用温水或温和清洁剂浸湿的软布擦拭，再用干软布擦干。
2. 滤网仓：打开背部滤网盖，取出滤网；用吸尘器和湿毛巾清洁滤网仓内部。
3. 灰尘传感器（如需清洁）：<PIC>双手向上拉起上盖；<PIC>向前拉出滤网盖；<PIC>拆下右侧灰尘传感器盖；<PIC>用湿棉签擦拭镜头和进风口，再用干棉签彻底擦干后装回。

如需长期存放，先在晴天运行 1 小时并拔下电源晾干内部，然后遮盖存放于干燥、无阳光直射处。,[""Manual03_22"", ""Manual03_23"", ""Manual03_24"", ""Manual03_25""]"
109,如何清洁空气净化器的滤网？,"Before cleaning, unplug the air purifier. For best results, clean it 1-2 times a month, or more often in dusty areas.

Steps:
1. Wipe the outer housing with a soft cloth dampened with warm water or a mild detergent, then dry with a soft cloth.
2. Open the back filter cover and remove the filter.
3. Use a vacuum and a damp cloth to clean the inside of the filter compartment.
4. Reinstall the filter and close the cover securely.

If you need further help, feel free to reach out.","Question:
如何清洁空气净化器的滤网？

Answer:
Before cleaning, unplug the air purifier. For best results, clean it 1-2 times a month, or more often in dusty areas.

Steps:
1. Wipe the outer housing with a soft cloth dampened with warm water or a mild detergent, then dry with a soft cloth.
2. Open the back filter cover and remove the filter.
3. Use a vacuum and a damp cloth to clean the inside of the filter compartment.
4. Reinstall the filter and close the cover securely.

If you need further help, feel free to reach out."
110,如何更换空气净化器的滤网？,更换空气净化器滤网时，请参考以下步骤：当滤网更换指示灯亮起红色即需更换；建议每 6–12 个月更换，具体周期视使用环境而定；更换完成后，长按控制面板上的“睡眠 + 自动”键 5 秒以上重置指示灯。未亮灯但已使用较长时间，也可提前更换以保持净化效果。,"Question:
如何更换空气净化器的滤网？

Answer:
更换空气净化器滤网时，请参考以下步骤：当滤网更换指示灯亮起红色即需更换；建议每 6–12 个月更换，具体周期视使用环境而定；更换完成后，长按控制面板上的“睡眠 + 自动”键 5 秒以上重置指示灯。未亮灯但已使用较长时间，也可提前更换以保持净化效果。"
111,如何清洁空气净化器的灰尘传感器？,"清洁前请务必拔下电源插头。步骤如下：

1. 双手握住上盖并向上拉起。<PIC>
2. 握住背部滤网盖把手，向前拉出滤网盖。<PIC>
3. 拆下设备右侧的灰尘传感器盖。<PIC>
4. 用蘸少量清水的棉签轻轻擦拭传感器镜头和进风口，再用干净干棉签彻底擦干。<PIC>
5. 依次装回传感器盖、滤网盖和上盖（上盖标识朝前）。

注意：请勿使用丙酮、酒精等强腐蚀性试剂，以免损坏镜头。,[""Manual03_22"", ""Manual03_23"", ""Manual03_24"", ""Manual03_25""]","Question:
如何清洁空气净化器的灰尘传感器？

Answer:
清洁前请务必拔下电源插头。步骤如下：

1. 双手握住上盖并向上拉起。<PIC>
2. 握住背部滤网盖把手，向前拉出滤网盖。<PIC>
3. 拆下设备右侧的灰尘传感器盖。<PIC>
4. 用蘸少量清水的棉签轻轻擦拭传感器镜头和进风口，再用干净干棉签彻底擦干。<PIC>
5. 依次装回传感器盖、滤网盖和上盖（上盖标识朝前）。

注意：请勿使用丙酮、酒精等强腐蚀性试剂，以免损坏镜头。,[""Manual03_22"", ""Manual03_23"", ""Manual03_24"", ""Manual03_25""]"
112,空气净化器需要长期存放时该怎么做？,"长期存放空气净化器，请按以下步骤操作：
1. 选一个晴天，让设备运行约 1 小时，充分烘干内部。
2. 拔下电源插头，放在通风处晾干。
3. 用遮盖物保护好设备，存放在干燥、无阳光直射的地方。","Question:
空气净化器需要长期存放时该怎么做？

Answer:
长期存放空气净化器，请按以下步骤操作：
1. 选一个晴天，让设备运行约 1 小时，充分烘干内部。
2. 拔下电源插头，放在通风处晾干。
3. 用遮盖物保护好设备，存放在干燥、无阳光直射的地方。"
113,如何了解这款健身单车的技术规格？,"您可查阅随附手册的技术规格部分了解详细参数。关键规格：最大使用者重量136千克（300磅），设备总占地面积5670平方厘米，机器重量26.5千克（58.4磅）。请参阅手册技术规格页面 `<PIC>`。,[""Manual14_1""]","Question:
如何了解这款健身单车的技术规格？

Answer:
您可查阅随附手册的技术规格部分了解详细参数。关键规格：最大使用者重量136千克（300磅），设备总占地面积5670平方厘米，机器重量26.5千克（58.4磅）。请参阅手册技术规格页面 `<PIC>`。,[""Manual14_1""]"
114,启动健身单车前，我需要做什么？,启动健身单车前，请先检查机器是否有零件松动、破裂、损坏或磨损，尤其注意座椅、脚踏板和曲柄。如发现异常请勿使用，请立即维修或更换零件。,"Question:
启动健身单车前，我需要做什么？

Answer:
启动健身单车前，请先检查机器是否有零件松动、破裂、损坏或磨损，尤其注意座椅、脚踏板和曲柄。如发现异常请勿使用，请立即维修或更换零件。"
115,我听说买的这款健身单车配有控制台和显示功能，能为我介绍一下吗？,"您好，这款健身单车控制台带有触控按键显示屏，主要功能如下：<PIC> 实时显示时间、距离、卡路里等运动统计数据；可直接在屏幕上触控调节阻力等级，并可选择预设运动程序或设定距离/时间/卡路里目标；支持将运动数据保存至U盘或清除当前档案记录；还可设置日期时间、英制/公制单位、机器类型以及声音开关。如需具体操作指引，欢迎继续咨询。,[""exercise_bikes_02""]","Question:
我听说买的这款健身单车配有控制台和显示功能，能为我介绍一下吗？

Answer:
您好，这款健身单车控制台带有触控按键显示屏，主要功能如下：<PIC> 实时显示时间、距离、卡路里等运动统计数据；可直接在屏幕上触控调节阻力等级，并可选择预设运动程序或设定距离/时间/卡路里目标；支持将运动数据保存至U盘或清除当前档案记录；还可设置日期时间、英制/公制单位、机器类型以及声音开关。如需具体操作指引，欢迎继续咨询。,[""exercise_bikes_02""]"
116,在健身单车上运动前，我需要调整什么来保证运动的舒适度？,"运动前请先调节座椅高度，这能提升舒适度并降低受伤风险。调节方法如下：
1. 下车后松开并拉出座管上的调节旋钮。
2. 将座椅调至所需高度，松开旋钮让锁销完全卡入并拧紧。<PIC>
3. 切勿将座管调到高于限位标记（STOP）的位置。

调节标准：把一侧脚踏板转到前位，脚掌中心对准脚踏板中心时，膝盖应保持微弯。如果腿过直或踩不到踏板就调低座椅，膝盖过度弯曲就调高。,[""Manual14_26""]","Question:
在健身单车上运动前，我需要调整什么来保证运动的舒适度？

Answer:
运动前请先调节座椅高度，这能提升舒适度并降低受伤风险。调节方法如下：
1. 下车后松开并拉出座管上的调节旋钮。
2. 将座椅调至所需高度，松开旋钮让锁销完全卡入并拧紧。<PIC>
3. 切勿将座管调到高于限位标记（STOP）的位置。

调节标准：把一侧脚踏板转到前位，脚掌中心对准脚踏板中心时，膝盖应保持微弯。如果腿过直或踩不到踏板就调低座椅，膝盖过度弯曲就调高。,[""Manual14_26""]"
117,使用健身单车的轻松骑行类别时，我能体验到哪些预设运动程序？,“轻松骑行”是预设程序中的一个运动类别。手册未列出该类别下具体的运动程序名称，您需要在控制台上操作查看：先按程序键，用左（◀）或右（▶）按钮找到“轻松骑行”，按确认键进入后，屏幕上就会显示该类别下的具体程序列表。,"Question:
使用健身单车的轻松骑行类别时，我能体验到哪些预设运动程序？

Answer:
“轻松骑行”是预设程序中的一个运动类别。手册未列出该类别下具体的运动程序名称，您需要在控制台上操作查看：先按程序键，用左（◀）或右（▶）按钮找到“轻松骑行”，按确认键进入后，屏幕上就会显示该类别下的具体程序列表。"
118,使用健身单车的山地类别时，我能体验到哪些预设运动程序？,您可以在单车显示屏上查看山地类别下的预设程序清单。操作方式：按程序键后，使用左（◀）或右（▶）按钮选择“山地”类别，再按增加（♣）或减少（▼）按钮即可浏览该类别下所有可用的自动阻力调节程序。,"Question:
使用健身单车的山地类别时，我能体验到哪些预设运动程序？

Answer:
您可以在单车显示屏上查看山地类别下的预设程序清单。操作方式：按程序键后，使用左（◀）或右（▶）按钮选择“山地”类别，再按增加（♣）或减少（▼）按钮即可浏览该类别下所有可用的自动阻力调节程序。"
119,挑战健身单车的最高难度类别时，我能体验到哪些预设运动程序？,"根据产品手册，预设程序分为“轻松骑行”、“山地”和“挑战”三个类别，但手册中并未列出“挑战”类别下的具体程序名称。

您可以直接在健身单车上查看：
1. 按“程序”按钮进入选择界面。
2. 按左（◀）或右（▶）按钮切换到“挑战”类别。
3. 按增加（♠）或减少（▼）按钮浏览该类别下的各个程序，屏幕会显示程序名称与曲线预览。

查看后如有其他疑问，欢迎随时联系。","Question:
挑战健身单车的最高难度类别时，我能体验到哪些预设运动程序？

Answer:
根据产品手册，预设程序分为“轻松骑行”、“山地”和“挑战”三个类别，但手册中并未列出“挑战”类别下的具体程序名称。

您可以直接在健身单车上查看：
1. 按“程序”按钮进入选择界面。
2. 按左（◀）或右（▶）按钮切换到“挑战”类别。
3. 按增加（♠）或减少（▼）按钮浏览该类别下的各个程序，屏幕会显示程序名称与曲线预览。

查看后如有其他疑问，欢迎随时联系。"
120,如果我想编辑健身单车的用户档案，需要遵循哪些步骤？,"1. 开机模式下，按增加（♠）或减少（▼）按钮选择要编辑的用户档案，然后按确认键。
2. 控制台显示编辑提示和当前用户名，按确认键开始编辑。
3. 编辑用户名：用增加/减少按钮浏览字母，左（◀）右（▶）按钮切换字符段，按确认键保存。
4. 依次编辑年龄、体重、身高、性别：用增加/减少按钮调节，每项设置完按确认键。
5. 设置运动中数据的显示方式：“关闭”需手动切换，“开启”则每 6 秒自动切换，按确认键。
6. 自定义下部显示的运动数据：用增加/减少按钮隐藏或显示数据，左/右按钮切换“开启/关闭”，完成后按确认键 <PIC>。
7. 控制台返回开机模式，编辑完成。,[""Manual14_28""]","Question:
如果我想编辑健身单车的用户档案，需要遵循哪些步骤？

Answer:
1. 开机模式下，按增加（♠）或减少（▼）按钮选择要编辑的用户档案，然后按确认键。
2. 控制台显示编辑提示和当前用户名，按确认键开始编辑。
3. 编辑用户名：用增加/减少按钮浏览字母，左（◀）右（▶）按钮切换字符段，按确认键保存。
4. 依次编辑年龄、体重、身高、性别：用增加/减少按钮调节，每项设置完按确认键。
5. 设置运动中数据的显示方式：“关闭”需手动切换，“开启”则每 6 秒自动切换，按确认键。
6. 自定义下部显示的运动数据：用增加/减少按钮隐藏或显示数据，左/右按钮切换“开启/关闭”，完成后按确认键 <PIC>。
7. 控制台返回开机模式，编辑完成。,[""Manual14_28""]"
121,我想在使用健身单车时设置心率目标，能否根据我的年龄为我推荐合适的目标心率？,"您可以通过健身单车的“心率控制（HRC）运动程序”设定目标。按 220 减去年龄可估算最大心率（BPM），建议从最大心率的 50–70% 开始，维持 20 分钟以上有利燃脂。

燃脂目标心率可参考下图 <PIC>  
操作时选择 HRC 程序，依次设置运动等级、心率百分比（推荐 50–70%）、目标类型与数值。运动过程中需持续握住接触式心率传感器确保读数正常。因个体差异，上述为通用建议，如需精准区间请咨询医生。,[""Manual14_25""]","Question:
我想在使用健身单车时设置心率目标，能否根据我的年龄为我推荐合适的目标心率？

Answer:
您可以通过健身单车的“心率控制（HRC）运动程序”设定目标。按 220 减去年龄可估算最大心率（BPM），建议从最大心率的 50–70% 开始，维持 20 分钟以上有利燃脂。

燃脂目标心率可参考下图 <PIC>  
操作时选择 HRC 程序，依次设置运动等级、心率百分比（推荐 50–70%）、目标类型与数值。运动过程中需持续握住接触式心率传感器确保读数正常。因个体差异，上述为通用建议，如需精准区间请咨询医生。,[""Manual14_25""]"
122,我听说这款健身单车有体能测试程序，这是什么功能？,"这款健身单车的体能测试程序，主要用于评估和长期追踪您自身的体能进步。它会将您运动时的心率与功率输出（瓦特）进行对比，随着体能提升，同等心率下能输出的功率就越高。得分仅用于您自身历史成绩的对比。

使用时，您只需选择初级或高级模式，控制台会根据您个人档案中的年龄和体重，在心率达到测试区间并稳定后自动计算得分。请注意，程序需要配备接触式心率传感器或心率监测仪（HRM）才能正常工作；且得分基于个人档案计算，建议运动前确保已选择自己的用户档案，以保证历史数据可比。","Question:
我听说这款健身单车有体能测试程序，这是什么功能？

Answer:
这款健身单车的体能测试程序，主要用于评估和长期追踪您自身的体能进步。它会将您运动时的心率与功率输出（瓦特）进行对比，随着体能提升，同等心率下能输出的功率就越高。得分仅用于您自身历史成绩的对比。

使用时，您只需选择初级或高级模式，控制台会根据您个人档案中的年龄和体重，在心率达到测试区间并稳定后自动计算得分。请注意，程序需要配备接触式心率传感器或心率监测仪（HRM）才能正常工作；且得分基于个人档案计算，建议运动前确保已选择自己的用户档案，以保证历史数据可比。"
123,如果要给电钻充电，需要遵循哪些步骤？,"给电钻充电时，请按以下步骤操作：

1. 先将充电器插头插入合适的插座。
2. 将电池组（K）对准充电器并完全推入，确保安装到位。此时红色充电指示灯会持续闪烁，表示充电已开始。  
   <PIC>
3. 当红色指示灯变为常亮时，表示已充满电，可以使用或让电池留在充电器里。

注意事项：
- 最佳充电环境温度为 18°C–24°C（65°F–75°F），避免低于 4.5°C 或高于 40.5°C。
- 充电时充电器和电池发热属于正常现象。冷电池充电速度会变慢。
- 如果无法正常充电，先检查插座是否有电，或移到室温环境再试。仍无法解决请送修。,[""Manual11_2""]","Question:
如果要给电钻充电，需要遵循哪些步骤？

Answer:
给电钻充电时，请按以下步骤操作：

1. 先将充电器插头插入合适的插座。
2. 将电池组（K）对准充电器并完全推入，确保安装到位。此时红色充电指示灯会持续闪烁，表示充电已开始。  
   <PIC>
3. 当红色指示灯变为常亮时，表示已充满电，可以使用或让电池留在充电器里。

注意事项：
- 最佳充电环境温度为 18°C–24°C（65°F–75°F），避免低于 4.5°C 或高于 40.5°C。
- 充电时充电器和电池发热属于正常现象。冷电池充电速度会变慢。
- 如果无法正常充电，先检查插座是否有电，或移到室温环境再试。仍无法解决请送修。,[""Manual11_2""]"
124,我的DCB101型号电钻指示灯闪烁时，这些闪烁标识代表什么含义？,"以下是DCB101充电器指示灯闪烁标识的含义：

- **电池组充电中**：指示灯正常闪烁，表示电池正在充电。<PIC>
- **电池组已充满**：指示灯常亮，表示电池已充满。<PIC>
- **过热/过冷延迟**：红灯长闪后短闪，表示电池温度过高或过低，充电暂停，待温度正常后会自动恢复充电。<PIC>
- **电池组或充电器故障**：红灯快速闪烁，表示电池或充电器可能存在故障。<PIC>
- **电源故障**：使用发电机等便携电源时，红灯快速闪烁两次后暂停，表示电源超出允许范围。<PIC>

如遇到故障提示，可将电池重新插入充电器。若问题依旧，换一块电池测试：如新电池能正常充电，则原电池有故障；如新电池也提示相同故障，则充电器可能需要送检。,[""drill0_08"", ""drill0_09"", ""drill0_10"", ""drill0_11"", ""drill0_12""]","Question:
我的DCB101型号电钻指示灯闪烁时，这些闪烁标识代表什么含义？

Answer:
以下是DCB101充电器指示灯闪烁标识的含义：

- **电池组充电中**：指示灯正常闪烁，表示电池正在充电。<PIC>
- **电池组已充满**：指示灯常亮，表示电池已充满。<PIC>
- **过热/过冷延迟**：红灯长闪后短闪，表示电池温度过高或过低，充电暂停，待温度正常后会自动恢复充电。<PIC>
- **电池组或充电器故障**：红灯快速闪烁，表示电池或充电器可能存在故障。<PIC>
- **电源故障**：使用发电机等便携电源时，红灯快速闪烁两次后暂停，表示电源超出允许范围。<PIC>

如遇到故障提示，可将电池重新插入充电器。若问题依旧，换一块电池测试：如新电池能正常充电，则原电池有故障；如新电池也提示相同故障，则充电器可能需要送检。,[""drill0_08"", ""drill0_09"", ""drill0_10"", ""drill0_11"", ""drill0_12""]"
126,使用电钻时，如何安装单套无键夹头？,"使用电钻时，请按以下步骤安装单套无键夹头：

1. 关闭工具并断开电源或取下电池组。 <PIC>  
2. 一只手握住夹头黑色套筒，另一只手固定工具，逆时针旋转套筒至足够大。 <PIC>  
3. 将附件插入约19毫米，一只手顺时针旋转套筒紧固，另一只手握住工具，直到拧紧。 <PIC>  

注意：切勿握住夹头并启动工具来拧紧附件，以免损坏夹头或造成伤害；启动前务必确认附件已紧固。拆卸附件时重复步骤1和2即可。,[""drill0_01"", ""drill0_02"", ""drill0_03""]","Question:
使用电钻时，如何安装单套无键夹头？

Answer:
使用电钻时，请按以下步骤安装单套无键夹头：

1. 关闭工具并断开电源或取下电池组。 <PIC>  
2. 一只手握住夹头黑色套筒，另一只手固定工具，逆时针旋转套筒至足够大。 <PIC>  
3. 将附件插入约19毫米，一只手顺时针旋转套筒紧固，另一只手握住工具，直到拧紧。 <PIC>  

注意：切勿握住夹头并启动工具来拧紧附件，以免损坏夹头或造成伤害；启动前务必确认附件已紧固。拆卸附件时重复步骤1和2即可。,[""drill0_01"", ""drill0_02"", ""drill0_03""]"
127,如果要安装和拆卸电钻的电池组，需要遵循什么步骤？,"关闭工具并取下电池组以确保安全。
安装时，将充满电的电池组对准手柄内导轨滑入，直到牢固就位。
拆卸时，按下释放按钮，将电池组平稳拔出。 
具体操作可参考图示 <PIC>。,[""Manual11_8""]","Question:
如果要安装和拆卸电钻的电池组，需要遵循什么步骤？

Answer:
关闭工具并取下电池组以确保安全。
安装时，将充满电的电池组对准手柄内导轨滑入，直到牢固就位。
拆卸时，按下释放按钮，将电池组平稳拔出。 
具体操作可参考图示 <PIC>。,[""Manual11_8""]"
